net,length_um
clknet_0_clk,325.055
_0342_,260.06
_0210_,255.01
_0422_,246.8
_0503_,237.98
_0207_,235.63
_0189_,224.38
_0194_,218.95
_0203_,214.9
_0399_,214.18
_0350_,212.8
_0179_,212.6
_0424_,204.39
_0391_,204.06
_0353_,201.1
_0366_,195.58
_0200_,193.715
_0337_,185.84
_0313_,185.55
_0308_,182.56
_0320_,180.56
_0411_,178.86
_0361_,174.26
_0437_,168.42
_0492_,168.3
_0173_,168.28
_0434_,167.78
_0363_,167.01
_0175_,164.52
_0343_,162.715
_0520_,162.56
_0204_,156.5
_0395_,154.37
_0357_,145.85
_0351_,145.66
net3,140.2
_0383_,139.8
_0199_,138.12
_0166_,137.12
_0387_,131.58
_0169_,130.64
net7,130.33
_0223_,128.105
_0168_,128.04
_0368_,122.44
clk,121.69
_0468_,119.575
net1,119.42
_0407_,113.54
clknet_4_10_0_clk,113.44
_0519_,113.42
_0185_,112.72
net5,111.06
net11,107.03
_0403_,106.76
_0315_,105.17
_0362_,102.34
clknet_4_2_0_clk,101.18
clknet_4_11_0_clk,100.66
u_addr_gen.addr\[4\],100.64
clknet_4_7_0_clk,99.59
net9,99.01
_0413_,98.92
_0466_,98.2
clknet_4_8_0_clk,97.14
clknet_4_6_0_clk,96.93
clknet_4_1_0_clk,96.46
clknet_4_0_0_clk,94.4
_0317_,92.14
net6,91.68
net8,90.81
clknet_4_9_0_clk,89.36
net10,89.125
_0184_,88.58
clknet_4_12_0_clk,86.22
clknet_4_5_0_clk,85.7
_0214_,85.66
clknet_4_3_0_clk,84.6
u_addr_gen.addr\[5\],80.17
clknet_4_13_0_clk,79.26
_0372_,78.52
net12,78.13
clknet_4_14_0_clk,77.54
_0347_,77.18
net14,76.91
_0524_,76.5
_0376_,74.35
clknet_4_4_0_clk,71.14
net2,71.02
_0277_,68.3
_0003_,67.38
_0332_,67.22
_0186_,67.08
u_addr_gen.addr\[2\],66.56
_0314_,66
_0283_,64.32
net15,64.06
u_sram.addr_r\[1\],62.63
_0291_,61.56
_0311_,60.58
_0309_,59.58
u_sram.addr_r\[3\],59.39
_0310_,58.83
clknet_4_15_0_clk,58.08
_0172_,54.58
_0227_,54.3
_0170_,54.16
_0250_,53.88
net162,53.52
u_addr_gen.addr\[3\],53.48
_0163_,52.66
u_fsm.state\[2\],52.6
_0171_,52.28
_0377_,49.74
u_sram.addr_r\[2\],47.82
_0155_,46.54
_0213_,46.32
u_sram.addr_r\[0\],46.3
_0328_,45.88
u_sram.mem\[4\]\[1\],45.7
u_fsm.state\[0\],45.21
_0151_,44.74
_0174_,44.68
u_pattern_gen.state_r\[0\],43.7
_0322_,43.06
_0002_,42.4
_0326_,41.84
u_sram.mem\[3\]\[0\],40.78
_0304_,40.54
_0232_,40.42
_0344_,39.34
_0348_,38.94
net163,38.82
_0274_,38.72
_0182_,38.48
_0364_,38.48
net16,37.71
_0358_,35.3
_0178_,35.22
u_sram.mem\[10\]\[0\],34.18
_0259_,34.12
net13,34.01
_0177_,33.74
u_addr_gen.addr\[0\],33.14
_0388_,33.12
net4,32.76
net31,32.76
_0212_,32.58
u_fsm.state\[1\],31.18
_0302_,31.07
_0224_,30.74
_0533_,29.66
_0530_,29.54
_0183_,29.45
_0307_,29.2
u_addr_gen.addr_valid,29.2
_0237_,28.86
u_sram.mem\[55\]\[0\],28.66
_0000_,28.23
_0475_,28.2
u_sram.mem\[20\]\[1\],27.36
u_sram.mem\[62\]\[1\],25.98
_0246_,25.94
_0154_,25.68
u_sram.mem\[30\]\[1\],25.66
_0164_,25.57
_0201_,25.5
u_sram.mem\[56\]\[1\],25.48
u_sram.mem\[20\]\[0\],25.46
net18,25.375
u_sram.mem\[46\]\[0\],25.24
u_sram.mem\[47\]\[0\],25.08
u_sram.mem\[47\]\[1\],25
u_sram.mem\[18\]\[0\],24.94
u_sram.mem\[48\]\[0\],24.56
u_sram.mem\[37\]\[0\],24.28
u_sram.mem\[42\]\[1\],24.24
_0428_,24.22
_0431_,24.08
_0536_,23.96
_0273_,23.66
u_sram.mem\[29\]\[1\],23.56
u_sram.mem\[14\]\[0\],23.22
u_sram.mem\[13\]\[1\],22.92
_0510_,22.72
u_sram.mem\[18\]\[1\],22.38
_0004_,22.34
u_sram.mem\[27\]\[1\],22.32
_0181_,22.28
_0380_,22.26
_0330_,21.95
u_addr_gen.state\[1\],21.87
u_sram.mem\[38\]\[0\],21.84
_0239_,21.8
_0249_,21.78
_0233_,21.76
_0487_,21.68
_0280_,21.61
_0196_,21.54
_0574_,21.54
u_sram.mem\[25\]\[0\],21.36
u_sram.mem\[42\]\[0\],21.24
_0338_,21.2
_0198_,21.12
_0469_,21.12
_0481_,21.08
_0563_,20.98
u_sram.mem\[49\]\[1\],20.88
net27,20.62
u_addr_gen.addr\[1\],20.08
_0292_,19.98
_0299_,19.84
u_sram.mem\[12\]\[1\],19.66
_0193_,19.6
u_sram.mem\[37\]\[1\],19.54
u_sram.mem\[32\]\[0\],19.34
u_sram.mem\[53\]\[1\],19.34
u_sram.mem\[40\]\[0\],19.32
u_sram.mem\[10\]\[1\],19.3
u_fsm.rvalid,19.04
_0527_,18.8
_0331_,18.44
_0439_,18.42
_0242_,18.28
_0305_,18.17
u_sram.mem\[52\]\[0\],18.16
u_sram.mem\[16\]\[0\],18.04
u_sram.mem\[34\]\[1\],18.005
_0327_,17.96
u_sram.mem\[19\]\[1\],17.92
u_sram.mem\[59\]\[0\],17.74
_0539_,17.72
u_sram.mem\[43\]\[1\],17.64
u_sram.mem\[21\]\[1\],17.62
u_sram.mem\[1\]\[1\],17.58
net20,17.52
_0329_,17.4
_0432_,17.36
_0149_,17.28
u_sram.mem\[31\]\[0\],17.24
u_sram.mem\[15\]\[1\],17.16
_0416_,17.14
u_sram.mem\[41\]\[0\],17.08
_0218_,17.06
_0230_,17.03
_0374_,16.96
_0148_,16.95
u_sram.mem\[25\]\[1\],16.94
u_sram.mem\[44\]\[0\],16.94
u_sram.mem\[35\]\[0\],16.92
_0414_,16.86
u_sram.mem\[46\]\[1\],16.72
_0286_,16.7
_0281_,16.56
u_sram.mem\[14\]\[1\],16.525
_0268_,16.5
u_sram.mem\[9\]\[0\],16.44
net26,16.3
_0354_,16.18
_0478_,16.14
u_sram.mem\[50\]\[1\],16.14
_0219_,15.98
_0545_,15.96
_0161_,15.86
_0288_,15.86
u_sram.mem\[62\]\[0\],15.86
_0267_,15.76
u_sram.mem\[63\]\[1\],15.7
u_pattern_gen.state_r\[1\],15.63
_0554_,15.6
u_sram.mem\[39\]\[0\],15.6
_0312_,15.56
net24,15.4
u_sram.mem\[27\]\[0\],15.36
_0303_,15.32
u_sram.mem\[26\]\[0\],15.315
_0482_,15.24
_0176_,15.18
_0450_,15.18
_0261_,15.09
_0205_,15.08
_0101_,15.045
u_sram.mem\[22\]\[0\],15.02
u_sram.mem\[45\]\[0\],14.98
_0429_,14.96
_0551_,14.94
u_sram.mem\[6\]\[0\],14.94
_0133_,14.925
_0251_,14.88
u_sram.mem\[56\]\[0\],14.84
_0425_,14.82
done,14.82
u_addr_gen.start,14.72
_0483_,14.7
u_sram.mem\[33\]\[0\],14.66
_0301_,14.6
_0460_,14.6
_0457_,14.46
u_sram.mem\[26\]\[1\],14.44
u_sram.mem\[32\]\[1\],14.42
_0284_,14.4
_0241_,14.38
_0336_,14.38
u_sram.mem\[5\]\[1\],14.36
u_sram.mem\[45\]\[1\],14.34
net155,14.26
_0215_,14.245
u_sram.mem\[24\]\[0\],14.22
_0484_,14.18
_0287_,14.14
u_sram.mem\[1\]\[0\],14.14
_0150_,14.12
_0499_,13.94
u_sram.mem\[39\]\[1\],13.92
u_sram.mem\[55\]\[1\],13.88
u_sram.mem\[57\]\[0\],13.76
u_sram.mem\[22\]\[1\],13.68
_0272_,13.66
_0389_,13.66
u_sram.mem\[35\]\[1\],13.58
u_sram.mem\[4\]\[0\],13.56
net117,13.56
u_sram.mem\[50\]\[0\],13.545
_0258_,13.54
u_sram.mem\[16\]\[1\],13.52
_0572_,13.505
_0334_,13.46
_0571_,13.42
u_sram.mem\[7\]\[0\],13.42
_0566_,13.34
_0486_,13.32
u_sram.mem\[29\]\[0\],13.3
_0300_,13.2
u_sram.mem\[34\]\[0\],13.2
_0420_,13.18
_0324_,13.16
_0417_,13.1
u_sram.mem\[24\]\[1\],13.1
_0463_,13.08
_0396_,12.98
u_sram.mem\[58\]\[1\],12.94
_0160_,12.765
u_sram.mem\[48\]\[1\],12.68
u_sram.mem\[36\]\[1\],12.64
_0059_,12.605
u_sram.mem\[52\]\[1\],12.58
u_sram.mem\[0\]\[1\],12.56
_0567_,12.54
u_sram.mem\[30\]\[0\],12.54
_0252_,12.42
_0392_,12.42
u_sram.mem\[21\]\[0\],12.38
u_sram.mem\[57\]\[1\],12.36
_0159_,12.34
u_sram.mem\[2\]\[0\],12.34
_0516_,12.2
_0208_,12.16
_0265_,12.16
_0406_,12.12
_0445_,11.96
_0009_,11.92
_0560_,11.88
net137,11.82
_0102_,11.795
u_sram.mem\[9\]\[1\],11.72
_0240_,11.7
_0477_,11.7
_0167_,11.68
u_sram.mem\[31\]\[1\],11.68
u_sram.mem\[28\]\[0\],11.66
u_sram.mem\[51\]\[0\],11.64
_0216_,11.58
u_sram.mem\[51\]\[1\],11.56
_0454_,11.54
_0062_,11.525
u_sram.mem\[54\]\[0\],11.48
net138,11.4
u_addr_gen.state\[0\],11.35
_0497_,11.34
_0502_,11.34
_0225_,11.32
u_sram.mem\[7\]\[1\],11.32
net22,11.32
u_sram.addr_r\[4\],11.315
_0236_,11.28
_0448_,11.24
_0568_,11.24
_0446_,11.2
u_sram.mem\[3\]\[1\],11.16
_0379_,11.04
_0335_,10.96
_0375_,10.82
u_sram.mem\[6\]\[1\],10.82
u_sram.mem\[13\]\[0\],10.8
_0349_,10.7
_0490_,10.7
u_sram.mem\[11\]\[1\],10.7
u_sram.mem\[2\]\[1\],10.7
_0191_,10.64
u_sram.mem\[53\]\[0\],10.62
_0264_,10.6
_0271_,10.54
_0005_,10.5
_0192_,10.5
_0384_,10.5
_0400_,10.5
_0442_,10.5
u_sram.mem\[23\]\[0\],10.5
u_sram.mem\[17\]\[0\],10.48
_0244_,10.44
u_sram.mem\[49\]\[0\],10.44
u_sram.mem\[38\]\[1\],10.38
net131,10.38
_0165_,10.34
_0158_,10.26
_0340_,10.2
rst_n,10.2
net150,10.18
_0518_,10.1
net136,10.1
_0048_,10.045
_0074_,10.025
_0235_,9.98
u_sram.mem\[63\]\[0\],9.965
_0433_,9.94
u_sram.mem\[33\]\[1\],9.94
_0408_,9.9
_0180_,9.88
_0436_,9.88
_0373_,9.82
_0462_,9.82
_0088_,9.815
_0473_,9.8
_0297_,9.74
_0511_,9.74
u_fsm.addr_done_seen,9.7
net92,9.68
_0107_,9.665
net19,9.66
u_sram.mem\[15\]\[0\],9.58
net153,9.58
_0257_,9.54
_0579_,9.54
net90,9.54
u_sram.mem\[12\]\[0\],9.5
u_comparator.enable,9.425
_0548_,9.42
_0289_,9.4
_0211_,9.36
_0513_,9.34
_0522_,9.3
net46,9.28
_0561_,9.26
u_sram.mem\[44\]\[1\],9.24
net132,9.18
u_sram.mem\[19\]\[0\],9.14
_0404_,9.12
u_fsm.fail_latch,9.12
_0045_,9.075
_0024_,9.065
_0254_,9.06
_0544_,9.06
_0509_,9.04
_0521_,9.02
net23,9.02
u_sram.mem\[41\]\[1\],8.94
_0390_,8.9
_0564_,8.9
u_sram.mem\[40\]\[1\],8.82
_0055_,8.785
_0455_,8.74
start,8.72
u_sram.mem\[59\]\[1\],8.62
_0293_,8.6
net144,8.6
u_sram.mem\[23\]\[1\],8.58
_0295_,8.52
_0262_,8.44
_0573_,8.355
_0087_,8.265
net103,8.26
_0345_,8.24
u_sram.mem\[5\]\[0\],8.24
_0075_,8.22
u_sram.mem\[36\]\[0\],8.2
_0270_,8.18
net30,8.14
_0228_,8.1
_0501_,8.1
_0458_,8.06
_0570_,8.06
_0555_,8.04
_0476_,8.02
_0319_,7.98
_0456_,7.96
