net,length_um
u_sram.addr_r\[5\],7.895
net53,7.88
u_sram.mem\[28\]\[1\],7.86
net112,7.84
_0547_,7.78
_0066_,7.705
_0231_,7.64
_0369_,7.64
_0394_,7.64
_0427_,7.64
_0549_,7.58
_0248_,7.56
_0491_,7.56
_0523_,7.56
net78,7.56
u_sram.mem\[58\]\[0\],7.54
_0298_,7.52
_0449_,7.52
_0552_,7.52
_0131_,7.46
_0504_,7.44
_0531_,7.44
_0120_,7.385
_0514_,7.38
_0127_,7.34
net122,7.34
u_sram.mem\[61\]\[0\],7.32
_0089_,7.305
u_sram.mem\[8\]\[1\],7.3
net88,7.3
net151,7.3
_0318_,7.2
_0494_,7.2
_0124_,7.185
_0152_,7.18
_0195_,7.18
_0498_,7.18
_0580_,7.18
_0367_,7.14
_0027_,7.105
_0290_,7.1
_0393_,7.1
_0470_,7.1
_0505_,7.1
u_sram.mem\[54\]\[1\],7.1
u_fsm.next_state\[0\],7.08
u_sram.mem\[11\]\[0\],7.08
net79,7.08
_0553_,7.06
_0339_,6.98
_0435_,6.98
_0542_,6.98
net87,6.96
_0025_,6.9
net72,6.9
net121,6.9
net74,6.88
u_comparator.pass_fail,6.87
net109,6.86
_0263_,6.82
_0500_,6.82
_0256_,6.76
_0382_,6.76
_0397_,6.76
_0472_,6.76
_0496_,6.76
u_sram.mem\[60\]\[1\],6.74
_0012_,6.72
_0276_,6.72
_0355_,6.72
_0069_,6.685
_0247_,6.66
_0234_,6.64
_0471_,6.64
_0506_,6.64
_0217_,6.6
_0359_,6.6
_0459_,6.6
_0546_,6.6
_0507_,6.52
net63,6.5
_0581_,6.48
_0017_,6.465
_0023_,6.465
net50,6.38
_0117_,6.365
pass_fail,6.33
_0140_,6.325
_0565_,6.3
_0423_,6.26
u_comparator.compare_done,6.26
net106,6.26
_0136_,6.24
_0365_,6.2
_0096_,6.185
_0021_,6.18
_0493_,6.18
_0541_,6.18
_0558_,6.18
_0346_,6.16
_0285_,6.14
_0294_,6.14
_0352_,6.14
_0371_,6.14
_0479_,6.14
_0092_,6.1
_0044_,6.08
u_sram.mem\[17\]\[1\],6.06
net59,6.04
net64,6.04
net94,6.04
net80,5.92
_0070_,5.885
_0229_,5.84
_0410_,5.84
_0419_,5.84
_0537_,5.84
_0559_,5.84
_0576_,5.84
net17,5.84
_0451_,5.8
_0465_,5.8
_0020_,5.765
_0341_,5.72
_0221_,5.68
_0409_,5.68
_0447_,5.68
u_comparator.read_data\[1\],5.68
net91,5.62
net67,5.58
net76,5.58
net39,5.56
net111,5.52
net25,5.5
net113,5.46
_0093_,5.435
_0415_,5.38
_0426_,5.38
_0515_,5.38
u_addr_gen.done,5.36
u_sram.mem\[8\]\[0\],5.36
_0056_,5.345
_0079_,5.345
_0269_,5.34
u_sram.mem\[0\]\[0\],5.34
_0128_,5.335
_0053_,5.265
_0104_,5.265
_0156_,5.26
_0187_,5.26
_0528_,5.26
_0529_,5.26
_0540_,5.26
_0296_,5.22
_0534_,5.22
net41,5.22
_0035_,5.18
_0016_,5.16
_0042_,5.16
_0333_,5.16
u_sram.mem\[60\]\[0\],5.14
net108,5.14
net123,5.12
net140,5.12
_0018_,5.045
_0028_,5.045
_0077_,5.045
net145,5.04
_0146_,5
u_sram.mem\[43\]\[0\],5
_0007_,4.985
_0206_,4.94
_0147_,4.92
_0386_,4.92
_0401_,4.92
_0421_,4.92
_0512_,4.92
_0562_,4.92
_0222_,4.88
_0441_,4.88
net28,4.88
net98,4.88
net120,4.88
_0474_,4.82
_0525_,4.82
_0197_,4.8
_0238_,4.78
_0360_,4.76
u_comparator.read_data\[0\],4.76
_0034_,4.725
_0068_,4.7
net128,4.7
net40,4.66
net107,4.66
net147,4.66
net149,4.66
_0036_,4.605
_0255_,4.6
_0078_,4.585
net141,4.56
u_fsm.next_state\[2\],4.54
_0014_,4.48
_0145_,4.46
_0266_,4.46
u_sram.re_r,4.46
net29,4.46
u_sram.mem\[61\]\[1\],4.44
net124,4.42
_0132_,4.395
_0083_,4.385
_0114_,4.385
_0129_,4.385
_0057_,4.36
_0444_,4.36
_0153_,4.34
_0090_,4.245
_0043_,4.24
net119,4.24
_0275_,4.22
net99,4.2
_0071_,4.165
_0323_,4.14
u_sram.read_req,4.08
_0019_,4.065
_0112_,4.065
_0139_,4.065
_0031_,4.045
net154,4.02
net83,4
_0138_,3.935
_0085_,3.925
_0113_,3.925
_0121_,3.925
_0188_,3.88
_0279_,3.88
net43,3.88
_0110_,3.865
_0041_,3.78
net38,3.78
net130,3.78
net143,3.78
_0557_,3.76
net134,3.76
_0032_,3.705
net52,3.68
_0143_,3.66
_0130_,3.635
u_fsm.next_state\[1\],3.56
net125,3.56
_0253_,3.54
_0370_,3.54
net126,3.54
net152,3.54
_0111_,3.465
_0118_,3.465
_0015_,3.44
_0443_,3.44
_0517_,3.44
_0412_,3.42
_0453_,3.42
net57,3.42
net110,3.42
net161,3.42
_0046_,3.405
_0040_,3.345
_0084_,3.345
_0099_,3.345
net56,3.32
net68,3.32
net89,3.32
net93,3.32
net142,3.32
_0049_,3.245
_0060_,3.245
_0076_,3.225
_0105_,3.225
_0202_,3.22
net66,3.22
net114,3.22
_0011_,3.2
_0116_,3.175
_0054_,3.145
_0081_,3.145
_0190_,3.08
_0282_,3.08
_0440_,3.08
_0532_,3.08
net101,3.08
_0006_,3.045
_0029_,3.045
_0100_,3.045
_0073_,3.005
_0137_,3.005
_0485_,2.96
net70,2.96
net118,2.96
_0122_,2.88
_0010_,2.86
_0098_,2.86
net47,2.86
net62,2.86
net156,2.86
_0063_,2.835
_0097_,2.835
_0119_,2.835
net37,2.76
net42,2.76
net61,2.76
net129,2.76
net133,2.76
net21,2.74
_0125_,2.715
_0095_,2.705
_0157_,2.64
_0577_,2.64
net116,2.64
_0306_,2.62
_0316_,2.62
_0402_,2.62
net146,2.62
_0144_,2.6
_0072_,2.595
_0061_,2.545
_0091_,2.545
_0123_,2.545
_0109_,2.52
_0405_,2.52
_0489_,2.52
_0495_,2.52
_0526_,2.52
_0260_,2.5
_0356_,2.5
_0464_,2.5
_0575_,2.5
net45,2.5
net73,2.5
net158,2.5
_0038_,2.485
_0039_,2.485
_0051_,2.485
_0065_,2.485
_0082_,2.485
_0086_,2.485
_0135_,2.485
_0033_,2.42
_0047_,2.42
_0134_,2.42
_0209_,2.4
_0430_,2.4
net115,2.4
_0080_,2.375
_0067_,2.325
_0162_,2.3
net32,2.3
net33,2.3
net36,2.3
net48,2.3
net51,2.3
net54,2.3
net55,2.3
net58,2.3
net60,2.3
net69,2.3
net75,2.3
net77,2.3
net85,2.3
net104,2.3
net135,2.3
_0008_,2.28
_0141_,2.28
_0058_,2.255
_0064_,2.255
_0013_,2.18
_0142_,2.18
_0378_,2.16
_0398_,2.16
_0488_,2.16
_0535_,2.16
_0538_,2.16
_0550_,2.16
u_fsm.protocol_error,2.16
net84,2.16
net105,2.16
_0115_,2.125
_0381_,2.06
_0556_,2.06
_0226_,2.04
_0094_,2.035
_0126_,2.035
_0030_,2.025
_0103_,2.025
_0106_,2.025
_0108_,2.025
net49,1.94
net71,1.94
net139,1.94
_0026_,1.865
_0050_,1.865
net34,1.84
net35,1.84
net44,1.84
net81,1.84
net82,1.84
net86,1.84
net95,1.84
net96,1.84
net97,1.84
net100,1.84
net102,1.84
net127,1.84
net148,1.84
net157,1.84
net159,1.84
net160,1.84
_0325_,1.72
_0418_,1.7
_0467_,1.7
_0508_,1.7
_0385_,1.6
_0452_,1.6
_0461_,1.6
_0052_,1.575
_0022_,1.405
_0037_,1.405
_0001_,1.36
_0278_,1.26
_0243_,1.14
_0321_,1.14
_0438_,1.14
_0480_,1.14
_0543_,1.14
_0569_,1.14
net65,1.02
_0245_,0.8
_0220_,0.46
_0578_,0.46
