net,length_um
u_sram.mem\[15\]\[0\],14.96
u_sram.mem\[40\]\[0\],14.92
_0167_,14.9
done,14.82
u_sram.mem\[46\]\[0\],14.76
u_sram.mem\[3\]\[1\],14.74
_0509_,14.7
u_comparator.compare_done,14.56
u_sram.mem\[25\]\[0\],14.54
net20,14.52
_0343_,14.46
u_addr_gen.addr_valid,14.44
u_sram.mem\[22\]\[0\],14.44
_0235_,14.42
_0438_,14.42
u_sram.mem\[48\]\[0\],14.4
_0258_,14.34
u_sram.mem\[20\]\[1\],14.3
_0165_,14.28
_0244_,14.24
_0259_,14.24
u_fsm.fail_latch,14.16
u_sram.mem\[54\]\[1\],14
u_sram.mem\[57\]\[1\],13.96
_0307_,13.94
_0334_,13.88
_0513_,13.84
u_sram.mem\[42\]\[1\],13.84
u_sram.mem\[54\]\[0\],13.76
_0132_,13.705
_0280_,13.65
net54,13.64
u_sram.mem\[7\]\[1\],13.6
_0521_,13.54
_0564_,13.32
u_sram.mem\[59\]\[1\],13.225
_0549_,13.22
u_sram.mem\[49\]\[0\],13.2
_0357_,13
_0498_,12.98
_0557_,12.98
_0568_,12.96
_0444_,12.94
u_sram.mem\[20\]\[0\],12.91
_0527_,12.88
u_sram.mem\[2\]\[1\],12.8
u_sram.mem\[23\]\[0\],12.78
u_sram.mem\[12\]\[1\],12.72
_0236_,12.7
_0374_,12.66
_0106_,12.645
_0338_,12.64
u_sram.mem\[41\]\[0\],12.64
_0208_,12.5
_0441_,12.38
u_sram.mem\[47\]\[1\],12.38
_0296_,12.3
u_pattern_gen.state_r\[1\],12.3
_0507_,12.26
_0552_,12.26
_0478_,12.24
net79,12.24
_0574_,12.22
_0059_,12.205
net161,12.2
_0555_,12.18
u_sram.mem\[34\]\[1\],12.18
u_sram.addr_r\[4\],12.1
_0367_,12.08
u_sram.mem\[36\]\[1\],12.04
net19,12.04
_0423_,11.96
u_sram.mem\[53\]\[0\],11.92
_0565_,11.88
_0567_,11.88
u_sram.mem\[24\]\[0\],11.88
u_sram.mem\[57\]\[0\],11.88
u_sram.mem\[6\]\[0\],11.86
_0553_,11.82
_0516_,11.74
_0252_,11.64
_0551_,11.64
_0514_,11.62
u_comparator.enable,11.6
_0427_,11.58
_0150_,11.57
_0197_,11.48
_0414_,11.48
_0572_,11.46
u_sram.mem\[55\]\[0\],11.425
_0382_,11.42
_0394_,11.42
_0530_,11.42
_0298_,11.34
_0475_,11.28
_0558_,11.26
_0292_,11.24
_0481_,11.24
u_sram.mem\[40\]\[1\],11.24
net23,11.24
_0433_,11.18
u_sram.mem\[23\]\[1\],11.18
u_sram.mem\[34\]\[0\],11.14
_0276_,11.12
_0428_,11.12
_0462_,11.09
_0248_,11.04
_0010_,10.98
u_sram.mem\[47\]\[0\],10.94
_0408_,10.9
u_fsm.rvalid,10.88
_0488_,10.86
u_sram.mem\[4\]\[0\],10.84
_0160_,10.82
_0425_,10.82
u_sram.mem\[52\]\[1\],10.82
_0528_,10.8
_0295_,10.78
u_sram.mem\[19\]\[0\],10.78
u_sram.mem\[51\]\[0\],10.76
_0457_,10.74
_0569_,10.74
u_sram.mem\[44\]\[1\],10.74
u_sram.mem\[55\]\[1\],10.74
_0107_,10.675
_0058_,10.605
_0268_,10.52
_0371_,10.5
_0351_,10.48
u_sram.mem\[21\]\[1\],10.46
_0494_,10.455
_0533_,10.42
u_sram.mem\[18\]\[1\],10.4
_0489_,10.36
u_sram.mem\[62\]\[1\],10.34
_0544_,10.32
_0088_,10.3
u_sram.mem\[11\]\[1\],10.28
_0561_,10.26
u_sram.mem\[16\]\[0\],10.24
_0450_,10.2
_0249_,10.18
u_sram.mem\[53\]\[1\],10.18
_0386_,10.16
_0056_,10.12
rst_n,10.08
_0091_,10.065
_0575_,10.04
u_sram.mem\[32\]\[0\],10
net150,9.98
_0320_,9.94
u_sram.mem\[45\]\[0\],9.92
_0477_,9.9
_0484_,9.88
_0523_,9.86
_0398_,9.84
_0337_,9.82
_0500_,9.78
net34,9.68
net27,9.52
_0196_,9.48
_0192_,9.46
_0461_,9.44
_0453_,9.395
_0127_,9.365
_0442_,9.36
_0562_,9.36
u_sram.mem\[61\]\[1\],9.36
_0156_,9.34
u_sram.mem\[26\]\[0\],9.32
net133,9.3
net84,9.22
_0402_,9.2
_0053_,9.145
_0486_,9.12
_0219_,9.06
u_sram.mem\[0\]\[1\],9.06
_0540_,9.02
u_sram.mem\[36\]\[0\],9.02
_0499_,8.98
_0554_,8.98
_0188_,8.96
_0539_,8.9
u_sram.mem\[5\]\[0\],8.9
_0429_,8.86
_0463_,8.86
_0493_,8.86
_0517_,8.86
u_sram.mem\[26\]\[1\],8.86
_0085_,8.825
_0372_,8.82
_0570_,8.82
net98,8.78
net63,8.76
_0446_,8.74
start,8.72
net90,8.72
u_sram.mem\[62\]\[0\],8.7
_0143_,8.62
_0476_,8.58
_0378_,8.56
_0504_,8.56
_0531_,8.56
u_sram.mem\[50\]\[1\],8.54
_0485_,8.5
_0336_,8.48
u_sram.mem\[35\]\[0\],8.48
_0101_,8.385
_0324_,8.32
_0511_,8.14
u_sram.mem\[58\]\[0\],8.14
net158,8.14
u_sram.mem\[42\]\[0\],8.12
_0111_,8.105
_0571_,8.1
u_sram.mem\[2\]\[0\],8.1
net21,8.1
net143,8.08
_0228_,8.06
net87,8.06
_0497_,8.04
net67,8.04
_0009_,8.02
_0068_,7.985
_0323_,7.98
_0451_,7.98
_0506_,7.98
_0285_,7.94
_0466_,7.94
_0211_,7.92
_0038_,7.845
net104,7.84
net146,7.78
net80,7.76
_0162_,7.74
u_sram.mem\[58\]\[1\],7.7
net44,7.7
_0037_,7.685
_0384_,7.68
_0431_,7.68
net120,7.68
u_sram.mem\[51\]\[1\],7.66
u_sram.mem\[43\]\[1\],7.64
_0075_,7.605
_0306_,7.6
_0447_,7.6
_0547_,7.6
_0074_,7.545
_0050_,7.525
u_comparator.read_data\[0\],7.52
net39,7.52
_0505_,7.48
_0129_,7.46
_0390_,7.44
_0066_,7.385
net46,7.38
net137,7.38
net119,7.36
net123,7.36
_0033_,7.265
_0342_,7.24
_0346_,7.22
u_fsm.next_state\[1\],7.22
net62,7.22
_0190_,7.18
_0272_,7.14
net24,7.14
net124,7.12
_0349_,7.1
_0455_,7.1
_0566_,7.06
u_sram.mem\[63\]\[1\],7.06
net37,7.06
_0368_,6.98
_0084_,6.925
_0305_,6.87
_0234_,6.86
_0282_,6.86
_0291_,6.84
_0139_,6.76
_0388_,6.76
_0443_,6.76
_0482_,6.76
net85,6.76
_0518_,6.74
u_sram.mem\[12\]\[0\],6.74
_0556_,6.66
net71,6.64
net117,6.62
_0470_,6.6
_0550_,6.6
_0131_,6.54
_0137_,6.54
_0119_,6.525
_0103_,6.5
_0580_,6.5
net135,6.5
_0104_,6.475
net41,6.44
_0090_,6.365
_0140_,6.365
_0095_,6.355
net60,6.32
_0122_,6.305
_0012_,6.3
_0225_,6.3
_0266_,6.3
_0294_,6.3
_0369_,6.3
_0392_,6.3
_0510_,6.3
net69,6.3
net73,6.3
u_sram.mem\[45\]\[1\],6.28
_0102_,6.265
_0158_,6.26
_0257_,6.26
_0403_,6.26
_0526_,6.26
net29,6.26
_0534_,6.2
_0007_,6.185
_0333_,6.18
_0464_,6.14
_0230_,6.09
net156,6.08
_0502_,6.06
_0582_,6.06
u_sram.mem\[46\]\[1\],6.06
u_sram.mem\[52\]\[0\],6.06
net105,6.04
net35,5.98
net114,5.98
_0100_,5.965
_0265_,5.96
net157,5.94
_0245_,5.92
_0221_,5.84
_0373_,5.84
_0391_,5.84
_0407_,5.84
_0419_,5.84
_0577_,5.84
_0359_,5.82
_0426_,5.82
_0537_,5.82
_0152_,5.8
_0215_,5.8
_0491_,5.8
_0217_,5.74
_0439_,5.74
_0512_,5.74
_0532_,5.72
_0243_,5.68
_0251_,5.68
_0262_,5.68
_0380_,5.68
_0124_,5.675
_0573_,5.63
_0025_,5.605
_0130_,5.605
_0083_,5.58
net101,5.58
_0120_,5.525
net43,5.52
_0092_,5.445
_0263_,5.44
_0042_,5.435
pass_fail,5.41
_0239_,5.38
_0253_,5.38
_0299_,5.38
_0062_,5.355
_0548_,5.34
_0318_,5.26
_0339_,5.26
_0376_,5.26
_0205_,5.22
_0379_,5.22
_0452_,5.22
net65,5.16
_0317_,5.14
_0086_,5.095
_0018_,5.065
u_fsm.next_state\[2\],5.065
_0144_,5.04
_0014_,4.94
_0256_,4.92
_0495_,4.92
_0195_,4.9
_0538_,4.88
u_fsm.protocol_error,4.88
_0080_,4.865
_0006_,4.845
_0029_,4.845
_0069_,4.845
_0077_,4.845
_0559_,4.82
_0399_,4.8
_0413_,4.8
u_sram.mem\[43\]\[0\],4.8
_0116_,4.76
_0535_,4.76
net51,4.7
_0017_,4.625
_0041_,4.58
_0201_,4.54
u_sram.read_req,4.51
_0021_,4.505
_0254_,4.46
_0448_,4.46
_0560_,4.46
net94,4.46
_0187_,4.42
_0238_,4.42
_0278_,4.42
_0352_,4.42
_0027_,4.385
_0039_,4.385
_0118_,4.385
_0365_,4.34
net52,4.34
net57,4.34
_0138_,4.24
net55,4.24
net122,4.24
net64,4.2
net78,4.14
net116,4.14
net30,4.12
net33,4.08
_0410_,4
_0424_,4
net154,4
net163,4
_0023_,3.98
_0073_,3.965
_0113_,3.965
_0128_,3.925
_0133_,3.925
_0176_,3.9
_0286_,3.9
_0289_,3.88
_0404_,3.88
_0417_,3.88
net68,3.78
net110,3.74
_0081_,3.705
_0134_,3.705
_0126_,3.685
_0315_,3.68
net31,3.68
net22,3.66
net36,3.66
_0013_,3.64
_0191_,3.64
u_sram.mem\[7\]\[0\],3.64
_0094_,3.605
_0145_,3.56
u_sram.mem\[0\]\[0\],3.56
_0542_,3.54
_0581_,3.54
u_sram.mem\[11\]\[0\],3.54
net109,3.54
net129,3.54
_0044_,3.505
_0019_,3.465
_0020_,3.465
_0030_,3.465
_0436_,3.44
_0508_,3.44
_0579_,3.44
_0421_,3.42
_0541_,3.42
_0545_,3.42
_0046_,3.405
net40,3.32
net48,3.32
net50,3.32
net58,3.32
net75,3.32
net100,3.32
_0022_,3.245
_0112_,3.225
net77,3.22
net93,3.22
_0067_,3.175
_0045_,3.155
_0011_,3.105
_0269_,3.1
_0287_,3.08
_0396_,3.08
net88,3.08
_0060_,3.045
_0098_,3.045
_0028_,3.005
_0057_,3.005
_0147_,2.98
_0434_,2.98
_0288_,2.96
_0395_,2.96
_0076_,2.885
_0079_,2.885
_0087_,2.885
_0089_,2.88
_0105_,2.86
net112,2.86
net115,2.86
_0040_,2.835
_0108_,2.785
_0297_,2.76
net49,2.76
net70,2.76
net113,2.76
net152,2.76
_0202_,2.74
_0071_,2.715
_0114_,2.715
_0136_,2.665
_0157_,2.64
_0008_,2.62
_0284_,2.62
_0473_,2.62
_0525_,2.62
net96,2.62
net111,2.62
_0055_,2.545
_0097_,2.545
_0363_,2.52
_0430_,2.52
_0180_,2.5
_0229_,2.5
_0279_,2.5
_0325_,2.5
_0460_,2.5
_0487_,2.5
net38,2.5
net89,2.5
_0051_,2.485
_0078_,2.485
_0110_,2.485
_0093_,2.42
_0271_,2.4
_0353_,2.4
net92,2.4
net95,2.4
net148,2.4
_0031_,2.375
_0082_,2.375
_0015_,2.325
_0034_,2.325
_0035_,2.325
_0043_,2.325
_0063_,2.325
_0064_,2.325
_0115_,2.325
net26,2.31
_0437_,2.3
net42,2.3
net45,2.3
net47,2.3
net56,2.3
net59,2.3
net66,2.3
net74,2.3
net83,2.3
net86,2.3
net97,2.3
net107,2.3
net108,2.3
net118,2.3
net125,2.3
net134,2.3
net138,2.3
net139,2.3
net153,2.3
net162,2.3
_0099_,2.255
_0142_,2.18
u_addr_gen.start,2.18
_0141_,2.16
_0161_,2.16
_0387_,2.16
_0449_,2.16
_0501_,2.16
net128,2.16
_0264_,2.06
_0356_,2.06
_0440_,2.06
_0472_,2.06
_0496_,2.06
_0563_,2.06
_0400_,2.04
_0522_,2.04
_0052_,2.035
_0016_,2.025
_0026_,2.025
_0036_,2.025
_0048_,2.025
_0049_,2.025
_0061_,2.025
_0065_,2.025
_0072_,2.025
net61,1.94
net72,1.94
net130,1.94
net145,1.94
net159,1.94
net160,1.94
_0024_,1.865
_0117_,1.865
_0121_,1.865
_0123_,1.865
_0125_,1.865
_0135_,1.865
net76,1.84
net82,1.84
net91,1.84
net99,1.84
net102,1.84
net106,1.84
net131,1.84
net132,1.84
net136,1.84
net140,1.84
net142,1.84
net144,1.84
net155,1.84
_0001_,1.82
_0260_,1.82
u_fsm.next_state\[0\],1.82
_0241_,1.7
_0479_,1.7
_0515_,1.7
net121,1.7
net147,1.7
_0445_,1.6
_0454_,1.6
_0529_,1.6
net53,1.48
net81,1.48
net103,1.48
net127,1.48
net149,1.48
net151,1.48
_0096_,1.46
_0032_,1.405
_0047_,1.405
_0146_,1.36
_0377_,1.14
_0383_,1.14
_0416_,1.14
_0576_,1.14
u_comparator.read_data\[1\],1.09
_0220_,1.02
net141,1.02
_0153_,0.92
_0578_,0.8
u_addr_gen.done,0.46
