net,length_um
clknet_0_clk,286.58
_0340_,279.36
_0503_,272.36
_0347_,245.19
_0492_,233.16
_0179_,232.78
_0189_,229.82
_0210_,216.9
_0401_,216.62
_0405_,215.65
_0422_,215.52
_0175_,212.35
_0393_,202.63
_0207_,201.23
_0173_,197.84
_0203_,197.8
_0348_,196.19
_0420_,193.36
_0314_,192.96
_0308_,192.02
_0358_,191.14
_0194_,186.62
_0385_,183.61
_0319_,178.14
_0364_,177.495
_0341_,176.22
_0199_,173.78
_0335_,171.9
_0344_,171.14
_0435_,169.84
_0200_,163.195
_0381_,161.71
_0432_,160.06
_0389_,156.29
_0312_,156.18
_0168_,151.55
_0397_,151.04
_0520_,141.27
net17,136.94
_0361_,134.18
_0354_,132
_0204_,129.64
_0185_,127.33
_0166_,126.48
_0350_,123.8
net9,123.445
_0223_,122.73
_0411_,122.58
_0169_,122.38
net3,121.82
clknet_4_5_0_clk,119.94
clk,118.1
net11,117.85
net7,117.72
_0465_,113.69
_0467_,110.83
net8,109.42
net5,103.08
_0366_,101.82
u_addr_gen.addr\[4\],101.52
_0409_,101.1
clknet_4_2_0_clk,101.1
_0313_,98.76
u_addr_gen.addr\[5\],97.02
_0370_,91.96
net6,91.555
_0316_,91.52
clknet_4_14_0_clk,90
_0519_,89.72
_0214_,85.97
clknet_4_8_0_clk,85.56
net166,84
clknet_4_13_0_clk,83.58
clknet_4_7_0_clk,83.4
_0164_,83.06
_0321_,80.835
net1,80.74
net12,80.68
clknet_4_10_0_clk,79.78
clknet_4_9_0_clk,79.64
clknet_4_3_0_clk,79.1
net165,78.92
_0213_,78.26
net10,76.9
net14,76.15
_0184_,73.065
_0003_,72.38
clknet_4_4_0_clk,71.06
net13,70.43
_0331_,69.8
clknet_4_11_0_clk,68.735
_0171_,68.02
_0177_,66.04
clknet_4_0_0_clk,65.02
_0250_,63.28
_0309_,62.36
clknet_4_1_0_clk,62.36
clknet_4_15_0_clk,61.46
_0310_,55.275
_0224_,55.24
_0345_,54.76
u_addr_gen.addr\[0\],53.94
_0172_,53.16
net16,52.46
clknet_4_12_0_clk,51.83
clknet_4_6_0_clk,49.98
net164,49.42
_0246_,49.26
_0362_,48.88
_0163_,47.44
_0355_,47.22
_0375_,46.48
_0170_,46.01
u_fsm.state\[2\],44.665
_0322_,44.39
net15,43.89
u_sram.addr_r\[1\],43.28
u_sram.addr_r\[3\],42.775
_0004_,42.42
_0277_,42.16
net4,41.38
_0326_,40.22
u_sram.mem\[60\]\[0\],39.06
_0543_,38.94
_0290_,38.18
_0216_,38.17
_0151_,37.88
u_addr_gen.addr\[3\],37.62
_0301_,37.28
_0300_,36.94
_0002_,36.72
_0328_,35.62
_0283_,34.8
_0181_,34.32
net32,34.14
net28,34.04
_0183_,33.82
u_addr_gen.addr\[1\],32.72
u_sram.re_r,32.46
u_sram.addr_r\[0\],32.26
_0480_,32.04
u_fsm.state\[0\],31.94
_0274_,31.84
u_sram.mem\[13\]\[1\],31.72
u_sram.mem\[60\]\[1\],31.28
_0536_,31.18
_0255_,31.14
u_fsm.state\[1\],31.08
net2,30.6
u_sram.addr_r\[2\],30.58
_0240_,29.88
_0186_,29.84
_0261_,29.22
u_addr_gen.addr\[2\],29.14
u_sram.mem\[14\]\[1\],28.965
_0155_,28.88
_0281_,28.4
net18,28.4
_0000_,28.3
_0302_,28.26
_0182_,26.88
u_sram.mem\[1\]\[0\],26.7
u_sram.mem\[18\]\[0\],26.66
_0275_,26.58
u_sram.mem\[10\]\[0\],26.28
_0267_,26.14
_0304_,25.96
_0459_,25.88
_0193_,25.7
u_sram.mem\[10\]\[1\],25.34
u_sram.mem\[31\]\[1\],25.14
_0483_,25.04
_0418_,24.9
u_sram.mem\[14\]\[0\],24.8
u_sram.mem\[39\]\[0\],24.56
u_sram.mem\[21\]\[0\],24.22
_0237_,24.06
_0226_,24.04
_0330_,23.93
u_sram.mem\[29\]\[0\],23.88
u_sram.mem\[6\]\[1\],23.88
u_sram.mem\[33\]\[1\],23.82
u_sram.mem\[63\]\[0\],23.7
_0406_,23.64
_0227_,23.58
u_sram.mem\[1\]\[1\],23.48
u_sram.mem\[32\]\[1\],23.46
u_sram.mem\[9\]\[1\],23.46
_0242_,22.58
u_sram.mem\[31\]\[0\],22.46
_0212_,22.4
u_sram.mem\[33\]\[0\],21.815
_0247_,21.62
_0360_,21.56
u_sram.mem\[38\]\[0\],21.42
u_sram.mem\[15\]\[1\],21.4
u_sram.mem\[39\]\[1\],21.38
u_sram.mem\[27\]\[1\],21.3
_0293_,21.24
u_pattern_gen.state_r\[0\],21.24
u_sram.mem\[30\]\[1\],21.22
u_addr_gen.state\[1\],20.8
_0231_,20.74
_0471_,20.72
_0198_,20.6
net167,20.58
_0412_,20.5
_0270_,20.48
u_sram.mem\[25\]\[1\],20.42
u_sram.mem\[9\]\[0\],20.24
u_sram.mem\[4\]\[1\],20.22
u_sram.mem\[22\]\[1\],20.04
u_fsm.addr_done_seen,19.98
u_sram.mem\[44\]\[0\],19.72
_0311_,19.7
u_sram.addr_r\[5\],19.66
u_sram.mem\[8\]\[1\],19.48
u_sram.mem\[56\]\[0\],19.36
u_sram.mem\[5\]\[1\],19.36
_0546_,18.92
_0468_,18.84
_0232_,18.82
u_sram.mem\[3\]\[0\],18.78
u_sram.mem\[24\]\[1\],18.66
_0273_,18.62
net25,18.6
_0329_,18.44
_0149_,18.36
u_sram.mem\[8\]\[0\],18.32
u_sram.mem\[16\]\[1\],18.02
u_sram.mem\[48\]\[1\],18
u_sram.mem\[13\]\[0\],17.8
_0174_,17.78
_0222_,17.76
_0303_,17.4
u_sram.mem\[38\]\[1\],17.4
u_addr_gen.state\[0\],17.21
u_sram.mem\[29\]\[1\],17.18
u_sram.mem\[28\]\[0\],17.14
u_sram.mem\[35\]\[1\],17.12
_0154_,16.96
u_sram.mem\[49\]\[1\],16.86
u_sram.mem\[56\]\[1\],16.86
u_sram.mem\[37\]\[0\],16.84
u_sram.mem\[59\]\[0\],16.82
u_sram.mem\[37\]\[1\],16.78
_0206_,16.68
_0233_,16.68
u_sram.mem\[17\]\[1\],16.62
_0327_,16.53
u_sram.mem\[30\]\[0\],16.48
u_sram.mem\[61\]\[0\],16.34
u_sram.mem\[19\]\[1\],16.32
net126,16.3
_0148_,16.255
_0005_,16.24
u_sram.mem\[41\]\[1\],16.22
_0054_,16.165
u_sram.mem\[27\]\[0\],16.14
u_sram.mem\[28\]\[1\],16.12
_0458_,16.08
_0178_,15.98
_0209_,15.96
_0474_,15.86
_0469_,15.78
_0159_,15.72
_0332_,15.68
_0415_,15.68
u_sram.mem\[17\]\[0\],15.68
_0070_,15.625
_0524_,15.475
u_sram.mem\[50\]\[0\],15.425
_0218_,15.34
_0109_,15.165
_0456_,15.1
u_comparator.pass_fail,15.02
_0490_,14.96
